,id,summary,risk,category,variance
1722,52283,"09.40.15 S0117117  DNIE4497E 2018-12-09 01:40:14 SYSOU DNI_SYSADM Exception without valid message ID; exception data: message catalog='BIPmsgs', error - number='2666', parameters='((-1)(MQW101)(2085)()(QWP1 -",64,8,-1.007484404
1987,52548,19.56.44 CPKC STC07526  GEO114W SOME LINKS NOT ACTIVE (CPKCA),64,8,-1.00764689
2017,52578,22.18.15 CP3D S0050594  GEO114W SOME LINKS NOT ACTIVE (CP3DA),63,8,-1.007187012
2019,52580,23.56.44 CPKC STC07526  GEO114W SOME LINKS NOT ACTIVE (CPKCA),63,8,-1.00743797
1402,51963,03.31.19 S0092182  GEO171W CONTROLLING SYSTEM(S) NOT FOUND ( CPKB ) (CP1AA),62,8,-1.007094827
561,51122,06.52.59 CP1B S0195832  GEO171W CONTROLLING SYSTEM(S) NOT FOUND ( CPKB ) (CP1BA),61,8,-1.007088221
881,51442,"19.44.12 CP3D S0189611  DNFF4141I 2018-12-08 11:44:12 BOCOUA DNF_FSM LT 'BKCHAU2SA': user or SFD-internal ABORT request accepted, ABORT code 'US007', ABORT - diagnostic code 'Life signal timeout'.",61,8,-1.00695872
513,51074,04.56.58 CPKA STC07670  GEO114W SOME LINKS NOT ACTIVE (CPKAA),60,8,-1.006864238
956,51517,.37.25 CPKB STC07342  IST1196I APPN CONNECTION FOR BOCHQP.SSCPCP1A INACTIVE - TGN = 21,60,8,-1.006834387
34,50595,03.10.18 CP2D S0044205  BSDB2QBSZS0 SEV=CRI CP2C Data SetName: IMGCP.L.B.BN.TSINVI.CA181128.H14 SIZE=70665375 (Alloc Size(in KB) > 70000000),59,8,-1.006700895
1989,52550,19.37.40 S0093304  GEO114W SOME LINKS NOT ACTIVE (CP1BA),58,8,-1.006652569
2021,52582,23.37.40 S0093304  GEO114W SOME LINKS NOT ACTIVE (CP1BA),58,8,-1.006454545
595,51156,17.58.27 CPKA STC07670  GEO114W SOME LINKS NOT ACTIVE (CPKAA),57,8,-1.006250831
2426,52987,"21.14.20 J0019393  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 328 86.6% INUSE SYSJOB operation - by utility ""LOAD SHRLEVEL NONE REPLACE"" was detected on table - ""NBANCS.TIER"" for Q subscription ""PUBDD_NTIER"" (receive queue - ""QR.NI.SENDQ1.QPY1.TO.QMENP",57,8,-1.006049106
2568,53129,07.38.14 S0093383  BSOPSSIZES0 SEV=WAR CP1A Data Set: SYSBAK.P1.REXX.DB2.RPT.TEMP1 SIZE=62520 (TracksAllocated > 55000),56,8,-1.005899184
2795,53356,"17.39.48 S0093009  +EYUPN0005W CIP1MM31 Notify created for SAM, Context=CPLEXBBS, Target=CIP1KT32, Sev=HS, Event=!!SAMMAX, Text=MAXTASK at 17:39:48.",56,8,-1.005668253
575,51136,07.40.57 CPKA STC07670  GEO061W CF BAC2C1 002964.IBM.84.0000000AAAB5 NOT WORKING (CPKAA),55,8,-1.005656745
1995,52556,21.56.44 CPKC STC07526  GEO114W SOME LINKS NOT ACTIVE (CPKCA),55,8,-1.005505224
542,51103,05.58.16 CP1A S0195831  GEO061W CF BAC2C1 002964.IBM.84.0000000AAAB5 NOT WORKING (CP1AA),54,8,-1.005449153
559,51120,06.55.30 CP3C S0050593  GEO061W CF BAC2C5 002964.IBM.84.0000000AAAB5 NOT WORKING (CP3CA),54,8,-1.005392686
195,50756,"13.36.39 CP3B          *IXC585E STRUCTURE DSNDP0Y_GBP0 IN COUPLING * FACILITY BCC2C5, *PHYSICAL STRUCTURE VERSION D53F67B9 37487BD4, *   SPACE USAGE     IN-USE       TOTAL    %     CHANGED    % *    ENTRIES:       160620     14210",53,8,-1.005376736
510,51071,04.58.16 CP1A S0195831  GEO061W CF BAC2C1 002964.IBM.84.0000000AAAB5 NOT WORKING (CP1AA),53,8,-1.004993933
2425,52986,"21.14.21 J0019393  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 333 86.4% INUSE SYSJOB operation - by utility ""LOAD SHRLEVEL NONE REPLACE"" was detected on table - ""NBANCS.TIER"" for Q subscription ""PUBDD_NTIER"" (receive queue - ""QR.NI.SENDQ1.QPS1.TO.QMENP",53,8,-1.005254566
