,message,category
112,"IEF196I IGD103I SMS ALLOCATED TO DDNAME SYS21714
",5
113,"-JOBNAME  STEPNAME PROCSTEP    RC   EXCP    CPU    SRB  CLOCK   SERV 
",5
114,"$HASP395 SLOGWR   ENDED - RC=0000
",5
115,"IEF196I IGD104I NV.SYSTEM.DA190312.TI101415.IEA405E          RETAINED,
",5
116,"IEF196I IGD103I SMS ALLOCATED TO DDNAME SYS21721
",5
117,"IEF196I DDNAME=SYS21723
",5
118,"IEF196I IGD104I NV.SYSTEM.DA190312.TI102806.IEA405E          RETAINED,
",5
119,"IST680I  CONNECTION REQUEST DENIED - ID = CEBCT00  PU GEN NOT SUPPORTED
",6
120,"ICH408I USER(TWSP    ) GROUP(#STCTWS ) NAME(TWS STC             ) 211
",3
121,"IST1394I  CPNAME = BOCHQP.CSWHW00     STATION ID = 020000000000
",0
122,"IST081I  LINE NAME = LEE1E0  , LINE GROUP = GRP1A   , MAJNOD = CP1AXCE0
",2
123,"IST314I  END
",1
124,"SMC0084 MAR 12 23:59:59 2019 SMC1  (V7.3.0) ACTIVE ON HOSTID CP1C
",5
125,"SMC0084 MAR 12 23:59:59 2019 SMC1  (V7.3.0) ACTIVE ON HOSTID CP1A
",5
126,"+DFHIC0801  CIP1KA21 CICS time altered from 23.59.599 to 00.00.000 -
",5
127,"+DFHIC0801  CIP1KT12 CICS time altered from 24.00.000 to 00.00.000 -
",5
128,"+DFHIC0801  CIP1FA11 CICS time altered from 24.00.000 to 00.00.000 -
",5
129,"+DFHIC0801  CIP1KA44 CICS time altered from 24.00.000 to 00.00.000 -
",5
130,"+DFHIC0801  CIP1KT42 CICS time altered from 24.00.000 to 00.00.000 -
",5
131,"+DFHIC0801  CIP1KA16 CICS time altered from 24.00.000 to 00.00.000 -
",5
132,"+DFHIC0801  CIP1AA11 CICS time altered from 24.00.000 to 00.00.000 -
",5
133,"+DFHIC0801  CIP1MM41 CICS time altered from 24.00.000 to 00.00.001 -
",5
134,"+DFHIC0801  CIP1KT23 CICS time altered from 24.00.000 to 00.00.001 -
",5
135,"+DFHIC0801  CIP1MM21 CICS time altered from 24.00.000 to 00.00.001 -
",5
136,"+DFHIC0801  CIP1MW11 CICS time altered from 24.00.000 to 00.00.001 -
",5
137,"S NV390PRT,I=NV.NETWORK.CP1EN.DSILOGP,O=NV.NETWORK.CP1EN.LOG(+1)
",5
138,"$HASP100 SYSJOB   ON STCINRDR
",5
139,"S NV390PRT,I=NV.NETWORK.CP1BN.DSILOGS,O=NV.NETWORK.CP1BN.LOG(+1)
",5
140,"EQQE037I JOB HHAPEND3(        ), OPERATION(0255), IN APPLICATION 265
",5
141,"GEO921I Monitor3 ended on system CP1E elapsed time 1 seconds (CP1EA)
",5
142,"IEF695I START NV390PRT WITH JOBNAME NV390PRT IS ASSIGNED TO USER
",5
143,"IEF695I START NV390PRT WITH JOBNAME NV390PRT IS ASSIGNED TO USER
",5
