,id,summary,risk
1535,52096,带库相关问题，请通知系统管理一和生产运行值班人员 03.15.29 S0093608 *3123 IEF238D SA390IPL - REPLY DEVICE NAME OR 'CANCEL'. | 78FE-78FF 797E-797F 79FE-79FF 7A7E-7A7F 7AFE-7AFF 7B7E-7B7F 7BFE-7BFF | 7E00-7E7D 7E80-7EAF 7F00-7F7D 7F80-7FAF 807E-807F 80FE-80F,123.8706047
1501,52062,带库相关问题，请通知系统管理一和生产运行值班人员 03.18.21 S0093614 *3139 IEF238D SA390IPL - REPLY DEVICE NAME OR 'CANCEL'. | 78FE-78FF 797E-797F 79FE-79FF 7A7E-7A7F 7AFE-7AFF 7B7E-7B7F 7BFE-7BFF | 7E00-7E7D 7E80-7EAF 7F00-7F7D 7F80-7FAF 807E-807F 80FE-80F,120.2711695
1189,51750,"01.30.02 CP3B S0047996  SMC0051 SMC SUBSYSTEM INTERFACE ERROR FOR JOB DUMMTW01; REASON=ASCOMM RC=608 (X'00000260'), FUNCTION=XVOLLKUP",116.8750124
147,50708,22.01.26 CP3B S0006883  DSNT500I  -DP2Z DSNUGRAR RESOURCE UNAVAILABLE REASON 00C90088 TYPE 00000302 -            NAME DSNDB01 .SYSUTILX.X'000010',113.665386
1120,51681,01.32.50 CP1A S0092179  IST1196I  APPN CONNECTION FOR BOCHQP.SSCPCP1C INACTIVE - TGN =  22,110.6273337
1203,51764,02.59.22 CP1A S0092179  IST1196I  APPN CONNECTION FOR BOCHQP.SSCPCP1F INACTIVE - TGN =  21,107.747456
1720,52281,"08.10.49 S0116365  DNIE4497E 2018-12-09 00:10:49 SYSOU DNI_SYSADM Exception without valid message ID; exception data: message catalog=\BIPmsgs\, error - number=\2666\, parameters=\[[-1][MQW101][2085][][QWP1 -",105.0137134
428,50989,"03.06.01 CP1B J0001953  +QDEPTH ALARM:QUEUE(QR.XMITQ1.QPS2.TO.QM93) DEPTH EXCEEDS,NOW 1019734",102.4152581
13,50574,22.01.32 CP3A S0005755  DSNT500I  -DP1Z DSNUGRAR RESOURCE UNAVAILABLE REASON 00C90088 TYPE 00002102 -            NAME BSZBASE .TSGECT  .00000018,99.94228991
169,50730,"03.01.02 CP1B J0144963  _QDEPTH ALARM:QUEUE[QR.XMITQ1.QPS2.TO.QM93] DEPTH EXCEEDS,NOW 1029748",97.58593291
1722,52283,"09.40.15 S0117117  DNIE4497E 2018-12-09 01:40:14 SYSOU DNI_SYSADM Exception without valid message ID; exception data: message catalog='BIPmsgs', error - number='2666', parameters='((-1)(MQW101)(2085)()(QWP1 -",95.33812903
3943,54504,"E2E:2018-12-25 22:20:14,316 ERROR [com.e2e.dc.service.impl.GetLogDataImpl] - Got SQL exception : java.sql.SQLException: ORA-12592: TNS:bad packet",93.19154589
2907,53468,"E2E:2018-12-24 22:21:13,440 ERROR [com.e2e.dc.service.impl.GetLogDataImpl] - Got SQL exception : java.sql.SQLException: ORA-12592: TNS:bad packet",91.13949694
1502,52063,带库相关问题，请通知系统管理一和生产运行值班人员 03.18.21 S0093614 *3139 IEF238D SA390IPL - REPLY DEVICE NAME OR 'CANCEL'. | ED80-EDAF EE00-EE3F EE80-EEAF EF00-EF3F EF80-EFAF | :,89.17587188
1900,52461,"E2E:2018-12-12 22:20:49,604 ERROR [com.e2e.dc.service.impl.GetLogDataImpl] - Got SQL exception : java.sql.SQLException: ORA-12592: TNS:bad packet",87.29507592
3781,54342,"E2E:2018-12-25 20:07:17,971 ERROR - [data.proc.output_rrtview] thread 'data.proc.output_rrtview' error, error occurs when sql running.",85.49197648
3784,54345,"E2E:2018-12-25 20:07:17,962 ERROR - [data.proc.output_bigview] thread 'data.proc.output_bigview' error, error occurs when sql running.",83.76185648
2475,53036,二 12月 18 21:20:01 CST 2018 Netcool主机监控出现异常,82.10037311
3783,54344,"E2E:2018-12-25 20:07:18,407 ERROR - [data.proc.get.SystemTxindView] thread 'data.proc.get.SystemTxindView' error, error occurs when sql running.",80.50352142
77,50638,22.01.12 CP3A S0005755  DSNT500I  -DP1Z DSNUGRAR RESOURCE UNAVAILABLE REASON 00C90088 TYPE 00002102 -            NAME BSZBASE .TSGECT  .00000018,78.96760211
1679,52240,03.05.45 CP3A S0048551  BCTSKLIFES0 SEV=CRI CIP3AA41 TaskID: 20475 TranID: SX02 CUREENT:503 (ElapsedTime > 500),77.48919289
3993,54554,"E2E:2018-12-26 22:19:46,411 ERROR [com.e2e.dc.service.impl.GetLogDataImpl] - Got SQL exception : java.sql.SQLException: ORA-12592: TNS:bad packet",76.06512307
883,51444,19.41.29 CP3D S0189611  DNFF4095I 2018-12-08 11:41:29 BOCOUA DNF_FSM LT 'BKCHAU2AA': RP user synchronization will start in '120' seconds.,74.69245081
3790,54351,"E2E:2018-12-25 20:07:17,955 ERROR - [data.proc.convertRRT] thread 'data.proc.convertRRT' error, error occurs when sql running.",73.36844288
4099,54660,"E2E:2018-12-27 22:19:15,050 ERROR [com.e2e.dc.service.impl.GetLogDataImpl] - Got SQL exception : java.sql.SQLException: ORA-12592: TNS:bad packet",72.09055647
1173,51734,01.31.31 CP1E S0129913  BQBSTOPICS0 SEV=CRI ALL Topic String: BANCS/SYSMODE (Topic StringCnt < 4),70.85642287
