,0,summary
50654,9.683821701,"02.05.33 CP2A           IOS080I 15E1,BC,C4042331, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=PRDC64R.LVEQ.ET.ETQD2042.A3301"
50655,4.47259329,03.33.04 CP1C J0046576 *IEF099I JOB CXBKUP06 WAITING FOR DATA SETS
50656,11.58041139,04.44.47 CP3A S0005755 *DSNB319A  -DP1Z DSNB5STS THERE IS A SHORTAGE OF * SPACE *IN GROUP BUFFER POOL GBP28
50657,20.96610218,"04.44.36 CP3B          *IXC585E STRUCTURE DSNDP0Z_GBP28 IN COUPLING * FACILITY BCC1C5, *PHYSICAL STRUCTURE VERSION D53F0738 E5CC22A5, *IS AT OR ABOVE STRUCTURE FULL MONITORING THRESHOLD OF 90%: *   SPACE USAGE     IN-USE       TOT"
50658,11.91374323,04.44.07 CP3B S0006883 *DSNB325A  -DP2Z DSNB1CNE THERE IS A CRITICAL * SHORTAGE *OF SPACE IN GROUP BUFFER POOL GBP28
50659,3.344879187,05.13.32 CP1D J0049712 *IEF099I JOB AXBKOUT  WAITING FOR DATA SETS
50660,1.580727936,05.05.35 CP1C J0049198  +DBA:BANCS BIG SEGMENT TS FOUND!TSLMVU HAS 20 DATASETS(MAX 32) SYSJOB
50661,1.62542311,05.05.35 CP1C J0049198  +DBA:BANCS BIG SEGMENT TS FOUND!TSSAFE HAS 21 DATASETS(MAX 32) SYSJOB
50662,1.717132481,05.05.35 CP1C J0049198  +DBA:BANCS BIG SEGMENT TS FOUND!TSSPYO HAS 25 DATASETS(MAX 32) SYSJOB
50663,2.361884941,05.04.13 CP1C J0049198  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 251 78.7% INUSE SYSJOB
50664,1.998152083,05.04.13 CP1C J0049198  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 252 70.3% INUSE SYSJOB
50665,1.267526913,05.04.11 CP1F J0049258  +DBA:EISS BIG SEGMENT TS FOUND!CGEN050P HAS 20 DATASETS(MAX 32) SYSJOB
