,summary,risk,category,CDFscore
70,05.03.33 CP1F J0182167  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 234 71.6% INUSE SYSJOB,3,5,0.632678133
71,05.03.33 CP1F J0182167  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 159 78.6% INUSE SYSJOB,3,5,0.633834369
72,05.03.33 CP1F J0182167  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 98 71.2% INUSE SYSJOB,3,5,0.627330539
73,05.03.34 CP1F J0182167  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 252 70.9% INUSE SYSJOB,3,5,0.632172279
74,05.04.11 CP1E J0182227  +DBA:EISS BIG SEGMENT TS FOUND!CGEN245P HAS 21 DATASETS(MAX 32) SYSJOB,1,2,0.141422171
75,05.04.11 CP1E J0182227  +DBA:EISS BIG SEGMENT TS FOUND!CGEN050P HAS 20 DATASETS(MAX 32) SYSJOB,1,2,0.19540396
76,05.04.11 CP1E J0182227  +DBA:EISS BIG SEGMENT TS FOUND!CGEN263P HAS 21 DATASETS(MAX 32) SYSJOB,1,2,0.135351929
77,05.04.11 CP1E J0182227  +DBA:EISS BIG SEGMENT TS FOUND!CGEN246P HAS 21 DATASETS(MAX 32) SYSJOB,1,2,0.140410464
78,05.04.19 CP1F J0182167  +DBA:BANCS BIG SEGMENT TS FOUND!TSSPYO HAS 24 DATASETS(MAX 32) SYSJOB,2,2,0.391747362
79,05.04.19 CP1F J0182167  +DBA:BANCS BIG SEGMENT TS FOUND!TSSPYZ HAS 20 DATASETS(MAX 32) SYSJOB,2,2,0.530495736
80,05.32.45 CP1F J0182782 *IEF099I JOB AXBKOUT  WAITING FOR DATA SETS,3,0,0.673001879
81,05.49.11 CP1C J0183042 *IEF099I JOB A01S804B WAITING FOR DATA SETS,3,0,0.673652262
82,07.40.23 CP3D S0098408  BSOEXTSPSS1 SEV=WAR CP3D Data Set: OPERZ.TWZP.APALL.D180905 EXTENTS = 11 (Exts > 10),22,0,0.955268102
83,07.46.12 CP1D S0041765  BSOEXTPDSS0 SEV=WAR CP1B Data Set: BOCBMC.MV.UBBPARM EXTENTS = 13 (Exts > 12),26,0,0.961410608
84,08.06.27 CP2D S0189174  BSOEXTPDSS0 SEV=WAR CP2C Data Set: SYS0.MLIB.PARMLIB EXTENTS = 15 (Exts > 12),23,0,0.956785663
85,10.17.12 CP1C J0186619 *IEF099I JOB SORTALL  WAITING FOR DATA SETS,3,0,0.684997832
86,11.05.21 CP1C J0187376 *IEF099I JOB SORTALL  WAITING FOR DATA SETS,3,0,0.678927591
87,12.19.34 CP1E J0188734 *IEF099I JOB QXPRERPT WAITING FOR DATA SETS,3,0,0.708122561
88,12.32.14 CP1C J0189078 *IEF099I JOB CXBKUPGL WAITING FOR DATA SETS,3,0,0.701329672
89,12.42.07 CP1E J0189146 *IEF099I JOB G0GETOUT WAITING FOR DATA SETS,3,0,0.702485908
90,".52.31 CP2D           IOS080I 15C7,A4,UPA64303, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=PRDDEDPR.SPLICE.RPYV.ULA64303",32,8,0.968853881
91,16.45.17 CP2A J0160465 *IEF099I JOB TMZ60000 WAITING FOR DATA SETS,4,0,0.729946524
92,17.44.31 CP2C J0164763 *IEF099I JOB RI00D21D WAITING FOR DATA SETS,5,0,0.81095534
93,17.44.30 CP2D J0164762 *IEF099I JOB RI00D01D WAITING FOR DATA SETS,4,0,0.767524209
94,17.44.37 CP2A J0164764 *IEF099I JOB RI00D41D WAITING FOR DATA SETS,9,0,0.889579419
95,17.44.41 CP2C J0164766 *IEF099I JOB RI00D81D WAITING FOR DATA SETS,5,0,0.817386906
96,17.52.02 CP2D J0165197 *IEF099I JOB RI30201D WAITING FOR DATA SETS,4,0,0.719540396
97,17.52.01 CP2B J0165186 *IEF099I JOB RI00201D WAITING FOR DATA SETS,4,0,0.77691863
98,17.52.02 CP2D J0165196 *IEF099I JOB RI23201D WAITING FOR DATA SETS,4,0,0.719540396
99,17.52.02 CP2D J0165195 *IEF099I JOB RI22201D WAITING FOR DATA SETS,4,0,0.719540396
100,17.52.02 CP2D J0165194 *IEF099I JOB RI21201D WAITING FOR DATA SETS,4,0,0.719540396
101,17.52.01 CP2A J0165189 *IEF099I JOB RI12201D WAITING FOR DATA SETS,5,0,0.787830611
102,17.52.01 CP2A J0165190 *IEF099I JOB RI13201D WAITING FOR DATA SETS,5,0,0.787830611
103,17.52.02 CP2D J0165193 *IEF099I JOB RI16201D WAITING FOR DATA SETS,4,0,0.719540396
104,"17.52.03 CP2A J0165202 *IEF099I JOB RI35201D WAITING FOR DATA SETS SUNDAY, SEPTEMBER 16, 2018",20,0,0.950209568
105,17.52.03 CP2D J0165206 *IEF099I JOB RI39201D WAITING FOR DATA SETS,4,0,0.727128198
106,17.52.04 CP2C J0165209 *IEF099I JOB RI43201D WAITING FOR DATA SETS,4,0,0.771281977
107,17.52.04 CP2C J0165211 *IEF099I JOB RI45201D WAITING FOR DATA SETS,4,0,0.771281977
108,17.52.03 CP2D J0165204 *IEF099I JOB RI37201D WAITING FOR DATA SETS,4,0,0.727128198
109,17.52.03 CP2D J0165203 *IEF099I JOB RI36201D WAITING FOR DATA SETS,4,0,0.727128198
110,17.52.03 CP2D J0165205 *IEF099I JOB RI38201D WAITING FOR DATA SETS,4,0,0.727128198
111,17.52.02 CP2D J0165191 *IEF099I JOB RI14201D WAITING FOR DATA SETS,4,0,0.719540396
112,17.52.02 CP2D J0165192 *IEF099I JOB RI15201D WAITING FOR DATA SETS,4,0,0.719540396
113,17.52.04 CP2C J0165208 *IEF099I JOB RI42201D WAITING FOR DATA SETS,4,0,0.771281977
114,17.52.04 CP2B J0165212 *IEF099I JOB RI46201D WAITING FOR DATA SETS,5,0,0.810594016
115,17.52.04 CP2C J0165207 *IEF099I JOB RI41201D WAITING FOR DATA SETS,4,0,0.771281977
116,17.52.02 CP2B J0165200 *IEF099I JOB RI33201D WAITING FOR DATA SETS,5,0,0.781254517
117,17.52.05 CP2D J0165217 *IEF099I JOB RI53201D WAITING FOR DATA SETS,4,0,0.729657465
118,17.52.03 CP2A J0165201 *IEF099I JOB RI34201D WAITING FOR DATA SETS,5,0,0.80127186
119,17.52.05 CP2A J0165214 *IEF099I JOB RI50201D WAITING FOR DATA SETS,5,0,0.805101893
120,17.52.05 CP2D J0165216 *IEF099I JOB RI52201D WAITING FOR DATA SETS,4,0,0.729657465
121,17.52.05 CP2A J0165215 *IEF099I JOB RI51201D WAITING FOR DATA SETS,5,0,0.805101893
122,17.52.02 CP2B J0165198 *IEF099I JOB RI31201D WAITING FOR DATA SETS,5,0,0.781254517
123,17.52.02 CP2B J0165199 *IEF099I JOB RI32201D WAITING FOR DATA SETS,5,0,0.781254517
124,17.52.04 CP2B J0165213 *IEF099I JOB RI47201D WAITING FOR DATA SETS,5,0,0.810594016
125,17.52.06 CP2C J0165220 *IEF099I JOB RI62201D WAITING FOR DATA SETS,4,0,0.763549646
126,17.52.06 CP2C J0165221 *IEF099I JOB RI63201D WAITING FOR DATA SETS,4,0,0.763332852
127,17.52.06 CP2C J0165222 *IEF099I JOB RI64201D WAITING FOR DATA SETS,4,0,0.763549646
128,17.52.06 CP2C J0165218 *IEF099I JOB RI54201D WAITING FOR DATA SETS,4,0,0.763549646
129,17.52.06 CP2C J0165219 *IEF099I JOB RI61201D WAITING FOR DATA SETS,4,0,0.763332852
130,17.52.07 CP2B J0165224 *IEF099I JOB RI66201D WAITING FOR DATA SETS,5,0,0.788770053
131,17.52.07 CP2D J0165226 *IEF099I JOB RI99201D WAITING FOR DATA SETS,4,0,0.725827432
132,17.52.06 CP2A J0165223 *IEF099I JOB RI65201D WAITING FOR DATA SETS MESSAGES ACTED UPON.,22,0,0.954400925
133,17.52.07 CP2B J0165225 *IEF099I JOB RI96201D WAITING FOR DATA SETS,5,0,0.788770053
134,21.04.11 CP1D J0196406  +DBA:EISS BIG SEGMENT TS FOUND!CGEN050P HAS 20 DATASETS(MAX 32) SYSJOB,1,2,0.095389507
135,02  21.04.11 CP1D J0196406  +DBA:EISS BIG SEGMENT TS FOUND!CGEN263P HAS 21 DATASETS(MAX 32) SYSJOB,1,2,0.115045527
136,21.04.11 CP1D J0196406  +DBA:EISS BIG SEGMENT TS FOUND!CGEN263P HAS 21 DATASETS(MAX 32) SYSJOB,1,2,0.091270415
137,21.04.11 CP1D J0196406  +DBA:EISS BIG SEGMENT TS FOUND!CGEN246P HAS 21 DATASETS(MAX 32) SYSJOB,1,2,0.094666859
138,21.04.11 CP1D J0196406  +DBA:EISS BIG SEGMENT TS FOUND!CGEN245P HAS 21 DATASETS(MAX 32) SYSJOB,1,2,0.095823096
139,21.11.48 CP1D J0196509 *IEF099I JOB NA100006 WAITING FOR DATA SETS,3,0,0.671556583
140,21.14.32 CP1D J0196440  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 98 71.2% INUSE SYSJOB,3,5,0.627547333
141,21.14.32 CP1D J0196440  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 159 79.0% INUSE SYSJOB,3,5,0.636219107
142,21.14.32 CP1D J0196440  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 234 71.6% INUSE SYSJOB,3,5,0.632750397
143,21.14.33 CP1D J0196440  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 245 76.0% INUSE SYSJOB,3,5,0.637953461
144,21.14.33 CP1D J0196440  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 252 70.9% INUSE SYSJOB,3,5,0.632461338
145,21.14.31 CP1D J0196440  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 87 74.3% INUSE SYSJOB,3,5,0.608180373
146,21.15.18 CP1D J0196440  +DBA:BANCS BIG SEGMENT TS FOUND!TSSPYO HAS 24 DATASETS(MAX 32) SYSJOB,2,2,0.39731175
147,21.15.19 CP1D J0196440  +DBA:BANCS BIG SEGMENT TS FOUND!TSSPYZ HAS 20 DATASETS(MAX 32) SYSJOB,2,2,0.526737968
148,22.28.20 CP1C J0197255 *IEF099I JOB G01S663B WAITING FOR DATA SETS,3,0,0.677915884
149,23.41.38 CP1F J0008374 *IEF099I JOB G01S023B WAITING FOR DATA SETS,4,0,0.742881919
150,00.09.33 CP1D J0008578 *IEF099I JOB G01S506B WAITING FOR DATA SETS,3,0,0.658982512
