00.38.17 CP1C S0137395 DSNR035I -DP51 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - 00- CORRELATION NAME = ME980000 - CONNECTION ID = DB2CALL - LUWID = BOCHQ P.DP51APPL.D41C828181DD = 8721
01.01.17 CP3C J0091276 *IEF099I JOB DEDPLUS5 WAITING FOR DATA SETS
01.05.02 CP1E J0077636 *IEF099I JOB SMFMRGCI WAITING FOR DATA SETS
01.22.31 CP2D J0013254 *IEF099I JOB GPISEAS1 WAITING FOR DATA SETS
01.29.51 CP2C J0013906 *IEF099I JOB TMZ60000 WAITING FOR DATA SETS
01.45.54 CP1C J0077810 *IEF099I JOB P1ZOSDL WAITING FOR DATA SETS
01.50.29 CP1E J0077818 *IEF099I JOB P1CICSDL WAITING FOR DATA SETS
"14.32.07 CP1F IOS080I 4AB5,D0,IXGLOGR, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=IXGLOGR.SMF.IFASMF.CP1F.DB2.T101.PLEXP1.D"
"14.32.07 CP1C IOS080I 45AD,9A,DP11MSTR, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=DSNDP01L.DP11.LOGCOPY2.DS38.DATA"
"14.32.07 CP1E IOS080I 1165,74,DP31MSTR, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=DSNDP01L.DP31.LOGCOPY1.DS23.DATA"
"14.32.07 CP1D IOS080I 54C0,B1,BBDBC, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=BMCMV.MV.DC1D.D0000007"
"14.32.07 CP1D IOS080I 4363,4A,DP61MSTR, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=DSNDP01L.DP61.LOGCOPY1.DS21.DATA"
"14.32.07 CP1C IOS080I 1B66,52,DP51MSTR, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=DSNDP01L.DP51.LOGCOPY2.DS64.DATA"
"14.32.07 CP1E IOS080I 5065,47,DP71MSTR, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=DSNDP01L.DP71.LOGCOPY1.DS07.DATA"
"AA 14.32.07 CP1C IOS080I 179D,52,IXGLOGR, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=CICSLOGR.CIRUKA.CIP1KA12.DFHLOG.PLEXP1.DATA"
"14.52.54 CP1C IOS080I 18A0,58,IXGLOGR, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=CICSLOGR.CIRUFA.CIP1FA12.DFHLOG.PLEXP1.DATA"
"14.52.54 CP1F IOS080I 49C2,D0,CIP1FA41, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=ESSPRD.ISS.AOR7.GADTLOGA.DATA"
14.52.55 CPKD *IXL158I PATH E7 IS NOW NOT-OPERATIONAL TO CUID: * FF7B 88 * COUPLING FACILITY 002964.IBM.83.00000005EC1E * PARTITION: 05 CP CID: 00
"14.52.54 CP1F IOS080I 21FD,D3,QPS2MSTR, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=CSQQPS2S.QPS2.LOGCOPY2.DS025.DATA"
