,summary,risk
128,17.52.06 CP2C J0165218 *IEF099I JOB RI54201D WAITING FOR DATA SETS,3.0
129,17.52.06 CP2C J0165219 *IEF099I JOB RI61201D WAITING FOR DATA SETS,3.0
130,17.52.07 CP2B J0165224 *IEF099I JOB RI66201D WAITING FOR DATA SETS,3.0
131,17.52.07 CP2D J0165226 *IEF099I JOB RI99201D WAITING FOR DATA SETS,3.0
132,17.52.06 CP2A J0165223 *IEF099I JOB RI65201D WAITING FOR DATA SETS MESSAGES ACTED UPON.,32.0
133,17.52.07 CP2B J0165225 *IEF099I JOB RI96201D WAITING FOR DATA SETS,3.0
134,21.04.11 CP1D J0196406  +DBA:EISS BIG SEGMENT TS FOUND!CGEN050P HAS 20 DATASETS(MAX 32) SYSJOB,1.0
135,02  21.04.11 CP1D J0196406  +DBA:EISS BIG SEGMENT TS FOUND!CGEN263P HAS 21 DATASETS(MAX 32) SYSJOB,1.0
136,21.04.11 CP1D J0196406  +DBA:EISS BIG SEGMENT TS FOUND!CGEN263P HAS 21 DATASETS(MAX 32) SYSJOB,1.0
137,21.04.11 CP1D J0196406  +DBA:EISS BIG SEGMENT TS FOUND!CGEN246P HAS 21 DATASETS(MAX 32) SYSJOB,1.0
138,21.04.11 CP1D J0196406  +DBA:EISS BIG SEGMENT TS FOUND!CGEN245P HAS 21 DATASETS(MAX 32) SYSJOB,1.0
139,21.11.48 CP1D J0196509 *IEF099I JOB NA100006 WAITING FOR DATA SETS,3.0
140,21.14.32 CP1D J0196440  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 98 71.2% INUSE SYSJOB,3.0
141,21.14.32 CP1D J0196440  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 159 79.0% INUSE SYSJOB,3.0
142,21.14.32 CP1D J0196440  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 234 71.6% INUSE SYSJOB,3.0
143,21.14.33 CP1D J0196440  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 245 76.0% INUSE SYSJOB,3.0
144,21.14.33 CP1D J0196440  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 252 70.9% INUSE SYSJOB,3.0
145,21.14.31 CP1D J0196440  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 87 74.3% INUSE SYSJOB,3.0
146,21.15.18 CP1D J0196440  +DBA:BANCS BIG SEGMENT TS FOUND!TSSPYO HAS 24 DATASETS(MAX 32) SYSJOB,2.0
147,21.15.19 CP1D J0196440  +DBA:BANCS BIG SEGMENT TS FOUND!TSSPYZ HAS 20 DATASETS(MAX 32) SYSJOB,2.0
148,22.28.20 CP1C J0197255 *IEF099I JOB G01S663B WAITING FOR DATA SETS,3.0
149,23.41.38 CP1F J0008374 *IEF099I JOB G01S023B WAITING FOR DATA SETS,3.0
150,00.09.33 CP1D J0008578 *IEF099I JOB G01S506B WAITING FOR DATA SETS,3.0
151,"01  00.34.16 CP1D           IOS080I 45C6,DA,DP2CDBM1, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=ESSPRDDB.DSNDBD.DISSPRD.CGEN008P.I0001.A002",3.0
152,".34.16 CP1D           IOS080I 45C6,EE,DP2CDBM1, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=ESSPRDDB.DSNDBD.DISSPRD.CGEN008P.I0001.A004",3.0
153,".34.16 CP1D           IOS080I 45B8,4E,DP2CDBM1, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=ESSPRDDB.DSNDBD.DISSPRD.CGEN008P.I0001.A007",3.0
154,".34.16 CP1D           IOS080I 45B8,4A,DP2CDBM1, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST.",3.0
155,".34.16 CP1D           IOS080I 45B8,4A,DP2CDBM1, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. 00          DATASET NAME=ESSPRDDB.DSNDBD.DISSPRD.CGEN008P.I0001.A007",3.0
156,"01  00.34.29 CP1D           IOS080I 45C6,EE,DP2CDBM1, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=ESSPRDDB.DSNDBD.DISSPRD.CGEN008P.I0001.A004",3.0
157,".34.29 CP1D           IOS080I 45C6,EE,DP2CDBM1, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=ESSPRDDB.DSNDBD.DISSPRD.CGEN008P.I0001.A004",3.0
158,".34.29 CP1D           IOS080I 45B8,4E,DP2CDBM1, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=ESSPRDDB.DSNDBD.DISSPRD.CGEN008P.I0001.A007",3.0
159,".34.29 CP1D           IOS080I 45B8,4A,DP2CDBM1, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. 00          DATASET NAME=ESSPRDDB.DSNDBD.DISSPRD.CGEN008P.I0001.A007",3.0
160,".34.29 CP1D           IOS080I 45C6,4A,DP2CDBM1, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=ESSPRDDB.DSNDBD.DISSPRD.CGEN008P.I0001.A002",3.0
161,".34.42 CP1D           IOS080I 45B8,CA,DP2CDBM1, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=ESSPRDDB.DSNDBD.DISSPRD.CGEN008P.I0001.A007",3.0
162,".34.42 CP1D           IOS080I 45C6,4E,DP2CDBM1, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. 03          DATASET NAME=ESSPRDDB.DSNDBD.DISSPRD.CGEN008P.I0001.A002",3.0
163,".34.42 CP1D           IOS080I 45C6,5D,DP2CDBM1, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=ESSPRDDB.DSNDBD.DISSPRD.CGEN008P.I0001.A004",3.0
164,".34.47 CP1F           IOS080I 457C,4A,DP41DBM1, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=NPRDCBSC.DSNDBD.NBSBASE.IEFTMP.J0001.A130",3.0
165,"00.34.47 CP1E           IOS080I 447D,9A,DP31DBM1, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=NPRDCBSC.DSNDBD.NBSBASE.IEFTMP.J0001.A200",3.0
166,".34.47 CP1F           IOS080I 457C,DA,DP81DBM1, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=NPRDCBSC.DSNDBD.NBSBASE.IEFTMP.J0001.A014",2.0
167,".34.47 CP1F           IOS080I 457B,CA,DP41DBM1, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=NPRDCBSC.DSNDBD.NBSBASE.TSGLDM.J0001.A001",3.0
168,".34.47 CP1E           IOS080I 4308,4E,DP71DBM1, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=NPRDCBSC.DSNDBD.NBSBASE.IEFTMP.J0001.A188",3.0
169,"00.34.55 CP1D           IOS080I 45C6,5D,DP2CDBM1, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=ESSPRDDB.DSNDBD.DISSPRD.CGEN008P.I0001.A002",3.0
170,"00.34.58 CP1D           IOS080I 4479,EE,DP21DBM1, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=NPRDCBSC.DSNDBD.NBSBASE.TSINVE.I0001.A003",2.0
