id,summary
51483,00.47.25 CP1F S0092108  +CSQX599E !QPY1 CSQXRCTL Channel QR.CHL2.QPY1.TO.QMDD ended abnormally
51484,00.47.25 CP1F S0092108  +CSQX599E !QPY1 CSQXRCTL Channel QR.CHL1.QPY1.TO.QMDD ended abnormally
51485,00.47.25 CP1F S0092108  +CSQX599E !QPY1 CSQXRCTL Channel QR.CHL1.QPY1.TO.QM93 ended abnormally
51486,00.45.54 CP3A S0048551  BNEEPUACTS0 SEV=CRI TCPIP PUName:EECP3C1A System:CP3C Remote IP:11.3.2.1         (State <> ACTIVE) (Persisting)
51487,00.45.54 CP3A S0048551  BNEEPUACTS0 SEV=CRI TCPIP PUName:EECP3C1A System:CP3A Remote IP:11.3.2.1         (State <> ACTIVE) (Persisting)
51488,00.46.21 CP2B S0007540  BNEEPUACTS0 SEV=CRI TCPIP PUName:EEC2AC1A System:CP2A Remote IP:11.3.2.1         (State <> ACTIVE) (Persisting)
51489,00.46.21 CP2B S0007540  BNEEPUACTS0 SEV=CRI TCPIP PUName:EEC2BC1A System:CP2B Remote IP:11.3.2.1         (State <> ACTIVE) (Persisting)
51490,00.45.22 CP2B S0007540  BNEEPUACTS0 SEV=CRI TCPIP PUName:EEC2BC1A System:CP2B Remote IP:11.3.2.1         (State <> ACTIVE) (Persisting) 00:44:25 IST924I ------------------------------------------------------------- IST2192I STARTE
51491,00.45.22 CP2B S0007540  BNEEPUACTS0 SEV=CRI TCPIP PUName:EEC2AC1A System:CP2A Remote IP:11.3.2.1         (State <> ACTIVE) (Persisting)
51492,00.45.06 CP1E S0127285  +CSQX599E !QPY2 CSQXRESP Channel QR.CHL1.QM55.TO.QPY2 ended abnormally
51493,00.44.54 CP3A S0048551  BNEEPUACTS0 SEV=CRI TCPIP PUName:EECP3C1A System:CP3A Remote IP:11.3.2.1         (State <> ACTIVE) (Persisting)
51494,00.44.54 CP3A S0048551  BNEEPUACTS0 SEV=CRI TCPIP PUName:EECP3C1A System:CP3C Remote IP:11.3.2.1         (State <> ACTIVE) (Persisting)
51495,00.45.06 CP1E S0127285  +CSQX599E !QPY2 CSQXRESP Channel QR.CHL1.QM93.TO.QPY2 ended abnormally
51496,00.44.22 CP2B S0007540  BNEEPUACTS0 SEV=CRI TCPIP PUName:EEC2BC1A System:CP2B Remote IP:11.3.2.1         (State <> ACTIVE) (Persisting)
51497,00.44.22 CP2B S0007540  BNEEPUACTS0 SEV=CRI TCPIP PUName:EEC2AC1A System:CP2A Remote IP:11.3.2.1         (State <> ACTIVE) (Persisting)
51498,00.43.46 CP1C S0127288  +CSQX599E !QPY1 CSQXRESP Channel QR.CHL1.QM55.TO.QPY1 ended abnormally
51499,00.43.46 CP1C S0127288  +CSQX599E !QPY1 CSQXRESP Channel QR.CHL1.QMDD.TO.QPY1 ended abnormally
51500,00.43.46 CP1C S0127288  +CSQX599E !QPY1 CSQXRESP Channel QR.CHN1.QM93.TO.QPY1 ended abnormally
51501,00.43.46 CP1C S0127288  +CSQX599E !QPY1 CSQXRESP Channel QR.CHL1.QM93.TO.QPY1 ended abnormally
51502,00.43.46 CP1C S0127288  +CSQX599E !QPY1 CSQXRESP Channel QR.CHN1.QMDD.TO.QPY1 ended abnormally
51503,00.43.46 CP1C S0127288  +CSQX599E !QPY1 CSQXRESP Channel QR.CHN1.QM55.TO.QPY1 ended abnormally
51504,00.42.55 CP3A S0048551  BNEEPUACTS0 SEV=CRI TCPIP PUName:EECP3C1A System:CP3C Remote IP:11.3.2.1         (State <> ACTIVE) (Persisting)
51505,00.42.55 CP3A S0048551  BNEEPUACTS0 SEV=CRI TCPIP PUName:EECP3C1A System:CP3A Remote IP:11.3.2.1         (State <> ACTIVE)
51506,00.43.23 CP2B S0007540  BNEEPUACTS0 SEV=CRI TCPIP PUName:EEC2BC1A System:CP2B Remote IP:11.3.2.1         (State <> ACTIVE) (Persisting) 00:42:27 IST924I ------------------------------------------------------------- IST2192I STARTE
51507,00.43.23 CP2B S0007540  BNEEPUACTS0 SEV=CRI TCPIP PUName:EEC2AC1A System:CP2A Remote IP:11.3.2.1         (State <> ACTIVE) (Persisting)
51508,00.42.24 CP2B S0007540  BNEEPUACTS0 SEV=CRI TCPIP PUName:EEC2BC1A System:CP2B Remote IP:11.3.2.1         (State <> ACTIVE) BOCHQP.SSCPCP1A IST1495I NO ALTERNATE ROUTE AVAILABLE IST314I END
51509,00.42.24 CP2B S0007540  BNEEPUACTS0 SEV=CRI TCPIP PUName:EEC2AC1A System:CP2A Remote IP:11.3.2.1         (State <> ACTIVE)
51510,"00.42.13 CP1F S0092089  ASN0574E  ""Q Capture"" : ""QRPHY1"" : ""WorkerThread"" : The WebSphere MQ queue manager ""QPY1"" is not available or it was not started. - The program will terminate."
51511,00.41.55 CP3A S0048551  BNEEPUACTS0 SEV=CRI TCPIP PUName:EECP3C1A System:CP3C Remote IP:11.3.2.1         (State <> ACTIVE) (Persisting)
51512,00.39.56 CP3A S0048551  BNEEPUACTS0 SEV=CRI TCPIP PUName:EECP3C1A System:CP3C Remote IP:11.3.2.1         (State <> ACTIVE)
51513,00.39.56 CP3A S0048551  BNEEPUACTS0 SEV=CRI TCPIP PUName:EECP3C1A System:CP3A Remote IP:11.3.2.1         (State <> ACTIVE)
51514,00.39.45 CP1F S0127284  +CSQX599E !QPS2 CSQXRESP Channel QR.CHL1.QM93.TO.QPS2 ended abnormally connection 11.4.35.141 (11.4.35.141)
51515,00.37.54 CP1D S0127290  +CSQX599E !QPS1 CSQXRESP Channel QR.CHN1.QM55.TO.QPS1 ended abnormally connection 11.4.35.146 (11.4.35.146)
51516,00.37.51 CP1D S0127290  +CSQX599E !QPS1 CSQXRESP Channel QR.CHL1.QMDD.TO.QPS1 ended abnormally connection 11.4.35.151 (11.4.35.151)
51517,.37.25 CPKB STC07342  IST1196I APPN CONNECTION FOR BOCHQP.SSCPCP1A INACTIVE - TGN = 21
51518,"00.36.21 CP3C S0048456  +CSQX209E !QP1S CSQXRCTL Connection unexpectedly terminated, channel SWIFTI.BPS.CHL -  connection 21.123.69.121 -  (queue manager QMSBPS_GW) -  TRPTYPE=TCP RC=00000000"
51519,"00.34.30 CP1E S0177454  +CSQX209E !QWP2 CSQXRCTL Connection unexpectedly terminated, channel SWIFTI.SWIFTLNK.CHL -  connection 21.123.69.121 -  (queue manager QMSBPS_GW) -  TRPTYPE=TCP RC=00000000"
51520,00.31.51 CP3C S0048456  +CSQX599E !QP1S CSQXRESP Channel BPS.SWIFTI.CHL ended abnormally connection 21.123.69.121
51521,00.21.24 CP1E S0177454  +CSQX599E !QWP2 CSQXRCTL Channel WBIFNBJ.WBIFNHK.CHL ended abnormally
51522,00.19.43 CP1C S0129908  BZASLDPSVS0 SEV=CRI CP1D Jobname: LDPSRV (Status <> ACTIVE)
51523,00.19.43 CP1C S0129908  BZASLDPSVS0 SEV=CRI CP1E Jobname: LDPSRV (Status <> ACTIVE)
51524,00.19.20 CP1A J0092003 *IEF099I JOB SMSRPTP1 WAITING FOR DATA SETS
51525,"00.17.24 CP1D S0178013  +CSQX209E !QWP1 CSQXRCTL Connection unexpectedly terminated, channel WBIFNBJ.WBIFNHK.CHL -  connection 21.238.3.93 -  (queue manager ????) -  TRPTYPE=TCP RC=00000000"
51526,"00.15.56 CP1D S0178013  +CSQX209E !QWP1 CSQXRCTL Connection unexpectedly terminated, channel WBIFNBJ.WBIFNHK.CHL -  connection 21.238.3.93 -  (queue manager ????) -  TRPTYPE=TCP RC=00000000"
51527,"00.14.28 CP1D S0178013  +CSQX209E !QWP1 CSQXRCTL Connection unexpectedly terminated, channel WBIFNBJ.WBIFNHK.CHL -  connection 21.238.3.93 -  (queue manager ????) -  TRPTYPE=TCP RC=00000000"
51528,"00.14.21 CP1D S0178013  +CSQX209E !QWP1 CSQXRESP Connection unexpectedly terminated, channel SWIFTI.QWP0 -  connection 11.3.2.5 -  (queue manager QWP0) -  TRPTYPE=TCP RC=00000000"
51529,"00.14.21 CP1E S0177454  +CSQX209E !QWP2 CSQXRESP Connection unexpectedly terminated, channel SWIFTI.QWP0 -  connection 11.3.2.5 -  (queue manager QWP0) -  TRPTYPE=TCP RC=00000000"
51530,"00.14.21 CP1E S0177454  +CSQX209E !QWP2 CSQXRESP Connection unexpectedly terminated, channel SWIFTI.QWP0 -  connection 11.3.2.5 -  TRPTYPE=TCP RC=00000000"
51531,"00.14.21 CP1D S0178013  +CSQX209E !QWP1 CSQXRESP Connection unexpectedly terminated, channel SWIFTI.QWP0 -  connection 11.3.2.5 -  TRPTYPE=TCP RC=00000000"
51532,"00.14.18 CP1E S0177454  +CSQX209E !QWP2 CSQXRESP Connection unexpectedly terminated, channel SWIFTI.QWP0 -  connection 11.3.2.4 -  (queue manager QWP0) -  TRPTYPE=TCP RC=00000000"
51533,"00.14.18 CP1D S0178013  +CSQX209E !QWP1 CSQXRESP Connection unexpectedly terminated, channel SWIFTI.QWP0 -  connection 11.3.2.4 00-  (queue manager QWP0) -  TRPTYPE=TCP RC=00000000"
51534,"00.14.18 CP1D S0178013  +CSQX209E !QWP1 CSQXRESP Connection unexpectedly terminated, channel SWIFTI.QWP0 -  connection 11.3.2.4 -  (queue manager QWP0) -  TRPTYPE=TCP RC=00000000"
51535,"00.14.18 CP1E S0177454  +CSQX209E !QWP2 CSQXRESP Connection unexpectedly terminated, channel SWIFTI.QWP0 -  connection 11.3.2.4 -  (queue manager QWP0)"
51536,"00.13.01 CP1E S0177454  +CSQX209E !QWP2 CSQXRCTL Connection unexpectedly terminated, channel WBIFNBJ.WBIFNHK.CHL -  connection 21.238.3.93 -  (queue manager ????) -  TRPTYPE=TCP RC=00000000"
51537,"00.11.33 CP1D S0178013  +CSQX209E !QWP1 CSQXRCTL Connection unexpectedly terminated, channel WBIFNBJ.WBIFNHK.CHL -  connection 21.238.3.93 -  (queue manager ????)"
51538,"00.10.08 CP1D S0178013  +CSQX209E !QWP1 CSQXRCTL Connection unexpectedly terminated, channel WBIFNBJ.WBIFNHK.CHL -  connection 21.238.3.93 -  (queue manager ????) -  TRPTYPE=TCP RC=00000000"
51539,"00.09.57 CP1D S0178013  +CSQX209E !QWP1 CSQXRCTL Connection unexpectedly terminated, channel WBIFNBJ.WBIFNHK.CHL -  connection 21.238.3.93 -  (queue manager WBNPG02) -  TRPTYPE=TCP RC=00000000"
51540,00.07.15 CP1D S0178013  +CSQX599E !QWP1 CSQXRESP Channel WBIFNHK.WBIFNBJ.CHL2 ended abnormally connection 21.238.3.93
51541,00.06.09 CP1A J0091938 *IEF099I JOB SMSRPTP1 WAITING FOR DATA SETS
51542,00.05.43 CP1E S0177454  +CSQX599E !QWP2 CSQXRESP Channel WBIFNHK.WBIFNBJ.CHL1 ended abnormally connection 21.238.3.92
51543,01.59.31 CP1A S0092187  BNROUTACTS0 SEV=CRI TCPIP DestinationIPAddr:11.3.3.7/32 System:CP1C (RouteStatus <> ACTIVE)
51544,01.59.31 CP1A S0092187  BNROUTACTS0 SEV=CRI TCPIP DestinationIPAddr:11.3.3.18/32 System:CP1C (RouteStatus <> ACTIVE)
51545,01.59.31 CP1A S0092187  BNROUTACTS0 SEV=CRI TCPIP DestinationIPAddr:11.3.3.3/32 System:CP1C (RouteStatus <> ACTIVE)
51546,01.59.31 CP1A S0092187  BNROUTACTS0 SEV=CRI TCPIP DestinationIPAddr:11.3.3.3/32 System:CP1D (RouteStatus <> ACTIVE)
51547,01.59.31 CP1A S0092187  BNROUTACTS0 SEV=CRI TCPIP DestinationIPAddr:11.3.3.18/32 System:CP1A (RouteStatus <> ACTIVE)
51548,01.59.31 CP1A S0092187  BNROUTACTS0 SEV=CRI TCPIP DestinationIPAddr:11.3.3.7/32 System:CP1D (RouteStatus <> ACTIVE)
51549,01.59.31 CP1A S0092187  BNROUTACTS0 SEV=CRI TCPIP DestinationIPAddr:11.3.3.7/32 System:CP1D (RouteStatus <> ACTIVE) DestinationIPAddr:11.3.3.18/32 System:CP1D (RouteStatus <> ACTIVE)
51550,01.59.31 CP1A S0092187  BNROUTACTS0 SEV=CRI TCPIP DestinationIPAddr:11.3.3.3/32 System:CP1A (RouteStatus <> ACTIVE)
51551,01.59.31 CP1A S0092187  BNROUTACTS0 SEV=CRI TCPIP DestinationIPAddr:11.3.3.7/32 System:CP1A (RouteStatus <> ACTIVE)
51552,01.59.31 CP1A S0092187  BNROUTACTS0 SEV=CRI TCPIP DestinationIPAddr:11.3.3.3/32 System:CP1A (RouteStatus <> ACTIVE) DestinationIPAddr:11.3.3.18/32 System:CP1A (RouteStatus <> ACTIVE)
51553,01.59.31 CP1A S0092187  BNROUTACTS0 SEV=CRI TCPIP DestinationIPAddr:11.3.3.18/32 System:CP1D (RouteStatus <> ACTIVE)
51554,01.58.06 CP1E S0130116  +DFHDB2025I CIP1KA31 The CICS-DB2 attachment has disconnected from DB2 subsystem DP31 been closed.
51555,01.57.55 CP1C S0092559  BCTASKCSKLS0 SEV=CRI ALL Tranid: CSKL (Count < 10)
51556,"01.58.00 CP1B S0195832  GEO551I HYPERSWAP DISABLED BY USER IBMSE11 AT 20181209 00:30:27, HyperSwap is disabled (CP1BA)"
51557,"01.57.47 CP1E S0130257  +DFHDB2025I CIP1FA31                            C 12/09/2018 01:57:47 CIP1FA31 The CICS-DB2 attachment has disconnected from DB2 subsystem DP3C group DP0C -  CKAM, TERMID ????, USERID CIRUFA  , TASKNO 000057"
51558,01.57.48 CP1E S0130258  +DFHDB2025I CIP1FA32                            C 12/09/2018 01:57:48 CIP1FA32 The CICS-DB2 attachment has disconnected from DB2 subsystem DP3C group DP0C
51559,01.57.05 CP1E S0130268  +DFHDB2025I CIP1FT31                            C 12/09/2018 01:57:05 CIP1FT31 The CICS-DB2 attachment has disconnected from DB2 subsystem DP3C group DP0C
51560,01.57.01 CP1E S0177454  +CSQX599E !QWP2 CSQXRESP Channel QWP1.TO.QWP2 ended abnormally connection 11.3.2.4
51561,01.57.01 CP1E S0177454  +CSQX599E !QWP2 CSQXRESP Channel WBIFNHK.WBIFNBJ.CHL1 ended abnormally connection 21.238.3.92
51562,01.57.01 CP1E S0177454  +CSQX599E !QWP2 CSQXRESP Channel GCSCDR.SWIFTI.CHL ended abnormally connection 21.123.31.156
51563,01.57.01 CP1E S0177454  +CSQX599E !QWP2 CSQXRESP Channel GCMS.SWIFTI.CHL ended abnormally connection 21.123.23.100
51564,01.57.01 CP1E S0177454  +CSQX599E !QWP2 CSQXRESP Channel GCS.SWIFTI.CHL ended abnormally connection 21.123.31.119
51565,01.57.01 CP1E S0177454  +CSQX599E !QWP2 CSQXRESP Channel AMLMAS.SWIFTI.CHL ended abnormally
51566,01.57.01 CP1E S0177454  +CSQX599E !QWP2 CSQXRCTL Channel WBIFNBJ.WBIFNHK.CHL ended abnormally
51567,01.57.01 CP1E S0177454  +CSQX599E !QWP2 CSQXRESP Channel WBIFNHK.WBIFNBJ.CHL2 ended abnormally connection 21.238.3.93
