id,risk,category,summary,timestamp,key
81905,1+,2,00.30.27 CP1D S0008408  DSNR035I  -DP21 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = ME980000 -           CONNECTION ID  = DB2CALL -           LUWID = DSNDP01.DP21APPL.D66019679652 = 103138 -,2019/7/6 1:00,DSNR035I
81906,1+,1,01.32.17 CP2B J0103297 *IEF099I JOB TMZ60000 WAITING FOR DATA SETS,2019/7/6 2:00,IEF099I
81907,1+,3,"01.18.21 CP2A           IOS080I 5AB5,7C,UMC25300, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=PRDDEDPR.SPLIT.JNAL.UPC20065.PR53",2019/7/6 2:00,IOS080I
81908,1+,1,02.15.07 CP3A J0085856 *IEF099I JOB RMFRPTD3 WAITING FOR DATA SETS,2019/7/6 3:00,IEF099I
81909,1+,1,02.15.01 CP1D J0011698 *IEF099I JOB RMFRPTD3 WAITING FOR DATA SETS,2019/7/6 3:00,IEF099I
81910,1+,3,"02.14.16 CP2D           IOS080I 42FB,4F,C4042413, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=PRDC64R.LVEQ.ET.ETQD2042.A4103",2019/7/6 3:00,IOS080I
81911,1+,9,03.41.43 CP1D J0024616 *IEF099I JOB G01S131B WAITING FOR DATA SETS,2019/7/6 4:00,IEF099I
81915,10+,6,04.04.58 CP1E S0052951  BQBUFPOOLS0 SEV=WAR QPY2 BufferPool ID: 1 (%Used >= 50),2019/7/6 5:00,BQBUFPOOLS0
81916,10+,6,04.04.58 CP1E S0052951  BQBUFPOOLS0 SEV=WAR QPY2 BufferPool ID: 3 (%Used >= 50),2019/7/6 5:00,BQBUFPOOLS0
81917,1+,9,05.25.44 CP1F J0028293 *IEF099I JOB AXBKOUT  WAITING FOR DATA SETS,2019/7/6 6:00,IEF099I
81918,1+,0,05.08.24 CP1E J0027891  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 20 79.8% INUSE SYSJOB,2019/7/6 6:00,BIG PARTITION
81919,1+,0,05.08.23 CP1E J0027891  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 16 75.5% INUSE SYSJOB,2019/7/6 6:00,BIG PARTITION
81920,1+,0,05.08.22 CP1E J0027891  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 1 76.5% INUSE SYSJOB,2019/7/6 6:00,BIG PARTITION
81921,1+,0,05.08.23 CP1E J0027891  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 8 74.5% INUSE SYSJOB,2019/7/6 6:00,BIG PARTITION
81922,1+,5,05.04.09 CP1D J0027962  +DBA:EISS BIG PARTITION TS FOUND!CGEN061P PART 3 76.6% INUSE SYSJOB,2019/7/6 6:00,BIG PARTITION
81923,1+,5,05.04.09 CP1D J0027962  +DBA:EISS BIG PARTITION TS FOUND!CGEN961P PART 3 75.9% INUSE SYSJOB,2019/7/6 6:00,BIG PARTITION
81924,1+,9,06.31.44 CP1E J0029431 *IEF099I JOB A01M9251 WAITING FOR DATA SETS,2019/7/6 7:00,IEF099I
81925,1+,4,06.02.30 CP3C J0107810  +DBA:BOCSY BIG PARTITION TS FOUND!TSSORD PART 4 72.0% INUSE SYSJOB,2019/7/6 7:00,BIG PARTITION
81926,1+,4,06.02.30 CP3C J0107810  +DBA:BOCSY BIG PARTITION TS FOUND!TSDPTM PART 4 75.6% INUSE SYSJOB,2019/7/6 7:00,BIG PARTITION
81927,1+,7,"08.46.56 CP2B          *IXC585E STRUCTURE LOGRECSTRUCTURE IN COUPLING * FACILITY BCC2C2, *PHYSICAL STRUCTURE VERSION D3C53696 F18B86E4, *IS AT OR ABOVE STRUCTURE FULL MONITORING THRESHOLD OF 80%: *   SPACE USAGE     IN-USE       T",2019/7/6 9:00,IXC585E
81929,1+,2,12.28.01 CP1E S0008409  DSNR035I  -DP31 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = NS200023 -           CONNECTION ID  = UTILITY -           LUWID = DSNDP01.DP31APPL.D660BABFFDD1 = 159307 -,2019/7/6 13:00,DSNR035I
81930,1+,4,13.02.43 CP3C J0153820  +DBA:BOCSY BIG PARTITION TS FOUND!TSSORD PART 4 72.0% INUSE SYSJOB,2019/7/6 14:00,BIG PARTITION
81931,1+,4,13.02.43 CP3C J0153820  +DBA:BOCSY BIG PARTITION TS FOUND!TSDPTM PART 4 75.6% INUSE SYSJOB,2019/7/6 14:00,BIG PARTITION
81932,1+,0,21.13.48 CP1E J0041695  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 20 79.8% INUSE SYSJOB,2019/7/6 22:00,BIG PARTITION
81933,1+,0,21.13.47 CP1E J0041695  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 8 74.5% INUSE SYSJOB,2019/7/6 22:00,BIG PARTITION
81934,100+,6,"21.13.47 CP1E J0041695  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 16 75.5% INUSE SYSJOB : An operation - by utility ""LOAD SHRLEVEL NONE REPLACE"" was detected on table - ""NBANCS.TBRH"" for Q subscription ""DP01_CAP3_TO_QMDD_HY1_NTBRH"" - (receive queue ""Q",2019/7/6 22:00,BIG PARTITION
81935,1+,0,21.13.46 CP1E J0041695  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 1 76.5% INUSE SYSJOB,2019/7/6 22:00,BIG PARTITION
81936,1+,9,21.12.33 CP1D J0041776 *IEF099I JOB NA100009 WAITING FOR DATA SETS,2019/7/6 22:00,IEF099I
81937,1+,5,21.04.09 CP1F J0041659  +DBA:EISS BIG PARTITION TS FOUND!CGEN061P PART 3 76.7% INUSE SYSJOB,2019/7/6 22:00,BIG PARTITION
81938,1+,5,21.04.09 CP1F J0041659  +DBA:EISS BIG PARTITION TS FOUND!CGEN961P PART 3 78.7% INUSE SYSJOB,2019/7/6 22:00,BIG PARTITION
